budget,budget_id,budget_utilization,feasibility,heldout_count,heldout_critical_ens,heldout_critical_infrastructure_outage_hours,heldout_critical_load_served_fraction,heldout_maximum_customers_unserved_per_hour,heldout_total_ens,heldout_trace_id,method,runtime,system_trace_id,total_upgrade_cost,trace_path
2032032.0,minimum_feasible_islanding,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-129e2edfb533e5eb9331,CMPO-local polynomial search,1.4193980409763751,system-a254793fb4c2dced3238,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__CMPO-local_polynomial_search.json
2032032.0,minimum_feasible_islanding,1.0,True,10,5.500010292519756,5,0.9970270214635027,0.4169054695680922,304.0998225779904,heldout-b3002f5401c61f035b56,IPOPT/Pyomo nonlinear,0.8306062079500407,system-f03a3a88304cd1d3e9fc,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__IPOPT_Pyomo_nonlinear.json
2032032.0,minimum_feasible_islanding,1.0,True,10,1669.38983935,310,0.0976271138648648,0.9228435073782236,2307.3898393500003,heldout-d54ba5b29cf9c664d5c3,QCi SC-CMPO,0.2148695420473814,system-2241e17862ae89bbf4f6,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/minimum_feasible_islanding__QCi_SC-CMPO.json
2032032.0,minimum_feasible_islanding,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d8d9a40d2fb0f47d013b,QUBO/quadratized search,0.3335595829412341,system-9e86fbf1cc3ea7c332fa,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__QUBO_quadratized_search.json
2032032.0,minimum_feasible_islanding,1.0,True,10,135.00000015914807,31,0.9270270269410013,0.4398280802099671,732.9999999498474,heldout-d6934fb43bfe6a4cb98b,SLSQP,0.2684469588566571,system-cf633eea5a75cfe2dc34,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__SLSQP.json
2032032.0,minimum_feasible_islanding,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-1632be0480621d3f5c50,differential evolution,0.334544416051358,system-de3c72a87ec9fc244883,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__differential_evolution.json
2032032.0,minimum_feasible_islanding,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d1849554265f5195eb0f,greedy resilience heuristic,0.1255067079328,system-fd3767be927ffdc2be6f,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__greedy_resilience_heuristic.json
2032032.0,minimum_feasible_islanding,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-f3d981de534b9666bcd8,piecewise-linear MILP,0.2845085831359029,system-8718c1b68e8abcf805f3,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__piecewise-linear_MILP.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-129e2edfb533e5eb9331,CMPO-local polynomial search,1.3963464580010625,system-315294c4621375e9de1d,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__CMPO-local_polynomial_search.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,5.500030556508659,5,0.9970270105099952,0.41690552057534,304.09953317926755,heldout-b3002f5401c61f035b56,IPOPT/Pyomo nonlinear,0.4488383750431239,system-567a74457577364a30a8,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__IPOPT_Pyomo_nonlinear.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,1669.38983935,310,0.0976271138648648,0.9228435073782236,2307.3898393500003,heldout-d54ba5b29cf9c664d5c3,QCi SC-CMPO,0.2038602090906351,system-016886663a13b1f2e65a,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/low_cost_catalog_step__QCi_SC-CMPO.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d8d9a40d2fb0f47d013b,QUBO/quadratized search,0.3030504169873893,system-72b5c4910bebb26178ea,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__QUBO_quadratized_search.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,5.500000184999999,2,0.997027026927027,0.4169054441260745,304.01833460803755,heldout-d6934fb43bfe6a4cb98b,SLSQP,0.394885207992047,system-32250d5ee2923ee62bfb,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__SLSQP.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-1632be0480621d3f5c50,differential evolution,0.3225726659875363,system-0dfc998a6b14b2dd5091,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__differential_evolution.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d1849554265f5195eb0f,greedy resilience heuristic,0.1274727501440793,system-d1c37967ac82ca832d0b,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__greedy_resilience_heuristic.json
2114027.8922130284,low_cost_catalog_step,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-f3d981de534b9666bcd8,piecewise-linear MILP,0.2843621249776333,system-2f1ea8c8020f5264dd43,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__piecewise-linear_MILP.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-129e2edfb533e5eb9331,CMPO-local polynomial search,1.3837136251386255,system-5a89a0a9c2b8547b5658,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__CMPO-local_polynomial_search.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,5.500021633212691,5,0.9970270153333988,0.4169054981141765,304.09960946798407,heldout-b3002f5401c61f035b56,IPOPT/Pyomo nonlinear,0.4221178328152746,system-9e5c8184734656440d07,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__IPOPT_Pyomo_nonlinear.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,1669.38983935,310,0.0976271138648648,0.9228435073782236,2307.3898393500003,heldout-d54ba5b29cf9c664d5c3,QCi SC-CMPO,0.2149185000453144,system-cad125e772925367ab80,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/pv_catalog_midpoint__QCi_SC-CMPO.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d8d9a40d2fb0f47d013b,QUBO/quadratized search,0.3192212081048637,system-66765d037519d1a58aa6,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__QUBO_quadratized_search.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,134.99999997414807,30,0.9270270270410012,0.4512893982556171,772.999999943126,heldout-d6934fb43bfe6a4cb98b,SLSQP,0.1777771250344813,system-acab73dd3afb64b1e2e4,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__SLSQP.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-1632be0480621d3f5c50,differential evolution,0.3238421659916639,system-15c124ba732ccdf60559,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__differential_evolution.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-d1849554265f5195eb0f,greedy resilience heuristic,0.1308372500352561,system-629c7a4482a867d7d23b,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__greedy_resilience_heuristic.json
3097978.598769372,pv_catalog_midpoint,1.0,True,10,135.0,30,0.927027027027027,0.4512893982808023,773.0,heldout-f3d981de534b9666bcd8,piecewise-linear MILP,0.3005883330479264,system-10065264a9d8b439e0b2,3097978.598769372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/pv_catalog_midpoint__piecewise-linear_MILP.json
