dataset,scenario,method_name,expected_operating_cost,risk_adjusted_cost,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,max_fraction_customers_unserved_per_hour,total_critical_infrastructure_unserved_hours_proxy,runtime_seconds
pglib_case14_adapted,demand_surge,Piecewise-linear MILP baseline,113.41861297592168,113.41861297592168,1.0,0.0,0.0,0.0,0.0,0.0419709580019116
pglib_case14_adapted,demand_surge,Stress-only reserve heuristic baseline,138.83442002546465,138.83442002546465,1.0,0.0,295.71190640000003,0.19035187634848605,0.0,0.0001025205128826
pglib_case14_adapted,demand_surge,CMPO + QCi Dirac-3,134.09770059801133,155.5070242093409,0.0,64.6666944,155.82335999999998,0.100304615110099,6.0,32.0
pglib_case14_adapted,demand_surge,CMPO-V2 + QCi Dirac-3,158.43538325009092,179.33861630534088,1.0,0.0,7.802930000000018,0.0050228020393158,0.0,30.0
pglib_case14_adapted,demand_surge,IPOPT/Pyomo nonlinear baseline,182.67915279620271,182.68811412917492,0.9999383062071088,0.03584533188887455,3.935541342284802,0.00253333620573805,3.0,0.5393261460121721
pglib_case14_adapted,demand_surge,SLSQPDispatchOptimizer,182.67915279620271,182.68811412917492,0.9999383062071088,0.03584533188887455,3.935541342284802,0.00253333620573805,3.0,0.5039707914693281
pglib_case14_adapted,demand_surge,QUBO/quadratized local search baseline,183.5371313921106,183.5371313921106,1.0,0.0,3.901465000000009,0.0025114010196579,0.0,5.188815000059549
pglib_case14_adapted,demand_surge,CMPO-local polynomial search,183.56900104989174,183.56900104989174,1.0,0.0,3.901465000000009,0.0025114010196579,0.0,1.2951158959767781
pglib_case14_adapted,demand_surge,GPU-parallel random restart baseline,183.56900104989174,183.56900104989174,1.0,0.0,3.9014650000000124,0.0025114010196579,0.0,0.0040109169785864495
pglib_case14_adapted,demand_surge,GreedyCriticalLoadFirst,183.56900104989174,183.56900104989174,1.0,0.0,3.9014650000000124,0.0025114010196579,0.0,0.0
pglib_case14_adapted,demand_surge,DifferentialEvolutionOptimizer,156.5557899209024,200.05877087814,0.5852794187916961,122.93638175216452,319.0761750350244,0.20539162374428774,6.0,0.1618279789690859
pglib_case14_adapted,local_generator_failure,Piecewise-linear MILP baseline,93.56758509978566,93.56758509978566,1.0,0.0,0.0,0.0,0.0,0.0416430414770729
pglib_case14_adapted,local_generator_failure,Stress-only reserve heuristic baseline,124.43291726624645,124.43291726624645,1.0,0.0,229.122486,0.17318817743492584,0.0,9.297946235165e-05
pglib_case14_adapted,local_generator_failure,CMPO + QCi Dirac-3,126.44313981060989,139.16727246358934,0.0,55.0704336,132.69984,0.1003046180090166,6.0,31.5
pglib_case14_adapted,local_generator_failure,IPOPT/Pyomo nonlinear baseline,155.37683416753356,155.37683416753356,1.0,0.0,0.0,0.0,0.0,0.38630797952646384
pglib_case14_adapted,local_generator_failure,SLSQPDispatchOptimizer,155.37683416753356,155.37683416753356,1.0,0.0,0.0,0.0,0.0,0.3831718330620788
pglib_case14_adapted,local_generator_failure,CMPO-local polynomial search,156.36087306867356,156.36087306867356,1.0,0.0,0.0,0.0,0.0,1.3278023955062963
pglib_case14_adapted,local_generator_failure,GPU-parallel random restart baseline,156.36087306867356,156.36087306867356,1.0,0.0,0.0,0.0,0.0,0.00365697895176705
pglib_case14_adapted,local_generator_failure,GreedyCriticalLoadFirst,156.36087306867356,156.36087306867356,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case14_adapted,local_generator_failure,QUBO/quadratized local search baseline,158.41826579453118,158.41826579453118,1.0,0.0,0.0,0.0,0.0,5.246999104041606
pglib_case14_adapted,local_generator_failure,CMPO-V2 + QCi Dirac-3,147.5567231453409,164.60190266534093,1.0,0.0,0.0,0.0,0.0,31.5
pglib_case14_adapted,local_generator_failure,DifferentialEvolutionOptimizer,151.4590057695188,184.88329398008113,0.5913452585357024,97.61152508519876,293.89063680433446,0.22214486514140055,6.0,0.1576860210043378
pglib_case14_adapted,normal,Piecewise-linear MILP baseline,88.06668655222938,88.06668655222938,1.0,0.0,0.0,0.0,0.0,0.0397931665065698
pglib_case14_adapted,normal,Stress-only reserve heuristic baseline,124.08180239488871,124.08180239488871,1.0,0.0,212.20090000000008,0.16681345979238804,0.0,9.370804764330387e-05
pglib_case14_adapted,normal,CMPO + QCi Dirac-3,135.2139210770909,153.32109950534092,0.0,52.95234,127.596,0.1003046180090166,6.0,32.0
pglib_case14_adapted,normal,IPOPT/Pyomo nonlinear baseline,155.38172743115237,155.38172743115237,1.0,0.0,0.0,0.0,0.0,0.5155515209771693
pglib_case14_adapted,normal,SLSQPDispatchOptimizer,155.38172743115237,155.38172743115237,1.0,0.0,0.0,0.0,0.0,0.5101563749485649
pglib_case14_adapted,normal,CMPO-local polynomial search,156.24284294317343,156.24284294317343,1.0,0.0,0.0,0.0,0.0,1.3583203124580905
pglib_case14_adapted,normal,GPU-parallel random restart baseline,156.24284294317343,156.24284294317343,1.0,0.0,0.0,0.0,0.0,0.0036616874858736497
pglib_case14_adapted,normal,GreedyCriticalLoadFirst,156.24284294317343,156.24284294317343,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case14_adapted,normal,QUBO/quadratized local search baseline,157.08376544317343,157.08376544317343,1.0,0.0,0.0,0.0,0.0,4.8761501664994285
pglib_case14_adapted,normal,CMPO-V2 + QCi Dirac-3,157.8092002340909,171.511689191701,1.0,0.0,0.0,0.0,0.0,31.5
pglib_case14_adapted,normal,DifferentialEvolutionOptimizer,153.8790439050224,187.27640539983838,0.5929155370420731,91.42049170410144,269.62749970625475,0.2119571409978536,6.0,0.1850716870394535
pglib_case14_adapted,pcc_failure,Piecewise-linear MILP baseline,94.69098731523711,94.69098731523711,1.0,0.0,0.0,0.0,0.0,0.0383666669367812
pglib_case14_adapted,pcc_failure,Stress-only reserve heuristic baseline,126.67168671697728,126.67168671697728,1.0,0.0,248.6910735,0.1861893202329808,0.0,0.00010643748100845
pglib_case14_adapted,pcc_failure,CMPO + QCi Dirac-3,126.45325109364126,145.1887660496413,0.0,55.599957,133.9758,0.1003046180090166,6.0,32.0
pglib_case14_adapted,pcc_failure,CMPO-V2 + QCi Dirac-3,144.0769085053409,160.602904783017,1.0,0.0,1e-07,7.486771342960199e-11,0.0,31.0
pglib_case14_adapted,pcc_failure,DifferentialEvolutionOptimizer,128.3133671259386,161.78478401380758,0.6070933994790573,94.65022783371091,285.9854864206786,0.21411079442368694,6.0,0.1553598749451339
pglib_case14_adapted,pcc_failure,CMPO-local polynomial search,163.15549422489067,163.15549422489067,1.0,0.0,0.0,0.0,0.0,1.2631292919977568
pglib_case14_adapted,pcc_failure,GPU-parallel random restart baseline,163.15549422489067,163.15549422489067,1.0,0.0,0.0,0.0,0.0,0.00411560450447715
pglib_case14_adapted,pcc_failure,GreedyCriticalLoadFirst,163.15549422489067,163.15549422489067,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case14_adapted,pcc_failure,IPOPT/Pyomo nonlinear baseline,163.15549422489067,163.15549422489067,1.0,0.0,0.0,0.0,0.0,0.22111991647398094
pglib_case14_adapted,pcc_failure,SLSQPDispatchOptimizer,163.15549422489067,163.15549422489067,1.0,0.0,0.0,0.0,0.0,0.21617475000675765
pglib_case14_adapted,pcc_failure,QUBO/quadratized local search baseline,164.82139197489073,164.82139197489073,1.0,0.0,0.0,0.0,0.0,5.148246021009982
pglib_case14_adapted,renewable_shortfall,Piecewise-linear MILP baseline,96.14166765326381,96.14166765326381,1.0,0.0,0.0,0.0,0.0,0.0396166665013879
pglib_case14_adapted,renewable_shortfall,Stress-only reserve heuristic baseline,130.26481242636908,130.26481242636908,1.0,0.0,229.874418,0.1771635358255056,0.0,9.422947186976671e-05
pglib_case14_adapted,renewable_shortfall,IPOPT/Pyomo nonlinear baseline,150.85862891892532,150.85862891892532,1.0,0.0,0.0,0.0,0.0,0.6305020625004545
pglib_case14_adapted,renewable_shortfall,SLSQPDispatchOptimizer,150.85862891892532,150.85862891892532,1.0,0.0,0.0,0.0,0.0,0.6188224789802916
pglib_case14_adapted,renewable_shortfall,CMPO + QCi Dirac-3,133.2764594653409,153.57513370267606,0.0,54.0113868,130.14792,0.1003046180090167,6.0,32.0
pglib_case14_adapted,renewable_shortfall,CMPO-local polynomial search,164.6860512646538,164.6860512646538,1.0,0.0,0.0,0.0,0.0,1.285693166544661
pglib_case14_adapted,renewable_shortfall,GPU-parallel random restart baseline,164.6860512646538,164.6860512646538,1.0,0.0,0.0,0.0,0.0,0.0035990630276500997
pglib_case14_adapted,renewable_shortfall,GreedyCriticalLoadFirst,164.6860512646538,164.6860512646538,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case14_adapted,renewable_shortfall,QUBO/quadratized local search baseline,165.60898536465382,165.60898536465382,1.0,0.0,0.0,0.0,0.0,4.866429791029077
pglib_case14_adapted,renewable_shortfall,CMPO-V2 + QCi Dirac-3,163.48071463867046,172.5275504722733,1.0,0.0,0.0,0.0,0.0,31.0
pglib_case14_adapted,renewable_shortfall,DifferentialEvolutionOptimizer,157.22896876852883,188.27947752902276,0.5789811776009155,90.32338896553476,265.54744215584054,0.20465663030736905,6.0,0.16377441643271595
pglib_case14_adapted,storm_forced_islanding,CMPO + QCi Dirac-3,13.5956862675811,53.670123826260664,0.0,62.48376119999999,204.6828,0.1363588125007369,6.0,33.5
pglib_case14_adapted,storm_forced_islanding,CMPO-V2 + QCi Dirac-3,29.996701553389656,55.02050092297795,0.4213905626471937,39.5526088,150.56328,0.1003046180090166,6.0,31.0
pglib_case14_adapted,storm_forced_islanding,Stress-only reserve heuristic baseline,78.67234222872483,107.59086502287994,0.7939567180461898,115.6740911766204,514.7063721766204,0.34289520026385367,3.0,9.702099487185478e-05
pglib_case14_adapted,storm_forced_islanding,DifferentialEvolutionOptimizer,82.31159655636424,125.3348841586893,0.4774634156930334,184.24611070401625,485.463751063985,0.3234138902107963,6.0,0.13636485405731946
pglib_case14_adapted,storm_forced_islanding,GPU-parallel random restart baseline,88.6324045464494,130.03204581535203,0.7936796526253501,115.8296375766204,372.5421345298612,0.24818598861742006,3.0,0.0038785209762863
pglib_case14_adapted,storm_forced_islanding,QUBO/quadratized local search baseline,99.89507392110508,132.6311799152602,0.7936796526253501,115.8296375766204,380.92851431073245,0.25377295922804194,3.0,4.406726437562611
pglib_case14_adapted,storm_forced_islanding,CMPO-local polynomial search,91.96393710435532,132.76543753490427,0.7936796526253501,115.8296375766204,372.5421345298612,0.24818598861742006,3.0,1.1031406249967404
pglib_case14_adapted,storm_forced_islanding,Piecewise-linear MILP baseline,103.87638134970713,132.79490414386225,0.7939567180461898,115.6740911766204,372.5421345298612,0.24818598861742006,3.0,0.059588833013549405
pglib_case14_adapted,storm_forced_islanding,IPOPT/Pyomo nonlinear baseline,115.25913022177942,144.2214077763777,0.793644967183015,115.8491102183932,377.03942294201585,0.25118206306703056,3.0,0.5056850000401028
pglib_case14_adapted,storm_forced_islanding,SLSQPDispatchOptimizer,115.25913022177942,144.2214077763777,0.793644967183015,115.8491102183932,377.03942294201585,0.25118206306703056,3.0,0.46454535401426256
pglib_case14_adapted,storm_forced_islanding,GreedyCriticalLoadFirst,116.41512713027677,145.37253652443187,0.7936796526253501,115.8296375766204,372.5421345298612,0.24818598861742006,3.0,0.0
pglib_case30_adapted,demand_surge,Piecewise-linear MILP baseline,29.13783614485419,29.13783614485419,1.0,0.0,0.0,0.0,0.0,0.0477907505119219
pglib_case30_adapted,demand_surge,IPOPT/Pyomo nonlinear baseline,115.9486061187445,115.9486061187445,1.0,0.0,0.0,0.0,0.0,0.4956994579988532
pglib_case30_adapted,demand_surge,SLSQPDispatchOptimizer,115.9486061187445,115.9486061187445,1.0,0.0,0.0,0.0,0.0,0.5329491255106404
pglib_case30_adapted,demand_surge,CMPO-local polynomial search,118.43888319378128,118.43888319378128,1.0,0.0,0.0,0.0,0.0,1.9300451459712349
pglib_case30_adapted,demand_surge,GPU-parallel random restart baseline,118.43888319378128,118.43888319378128,1.0,0.0,0.0,0.0,0.0,0.0040787079487927
pglib_case30_adapted,demand_surge,GreedyCriticalLoadFirst,118.43888319378128,118.43888319378128,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case30_adapted,demand_surge,QUBO/quadratized local search baseline,118.43888319378128,118.43888319378128,1.0,0.0,0.0,0.0,0.0,7.419595937535632
pglib_case30_adapted,demand_surge,Stress-only reserve heuristic baseline,118.43888319378128,118.43888319378128,1.0,0.0,0.0,0.0,0.0,0.000105041952338
pglib_case30_adapted,demand_surge,DifferentialEvolutionOptimizer,165.70948582268707,183.54564628899863,0.6768635303849969,40.783668276907605,115.88124563525852,0.07586223537029305,6.0,0.2028915625414811
pglib_case30_adapted,demand_surge,CMPO + QCi Dirac-3,123.60741468501134,191.92910098586586,0.0,64.6666944,155.82335999999998,0.1020105397358032,6.0,21.0
pglib_case30_adapted,demand_surge,CMPO-V2 + QCi Dirac-3,209.77036706534088,209.77036706534088,1.0,0.0,69.08919000000003,0.0452295827904716,0.0,31.0
pglib_case30_adapted,local_generator_failure,Piecewise-linear MILP baseline,22.742597982465306,22.742597982465306,1.0,0.0,0.0,0.0,0.0,0.045352229499258045
pglib_case30_adapted,local_generator_failure,IPOPT/Pyomo nonlinear baseline,64.26674877362808,64.26674877362808,1.0,0.0,0.0,0.0,0.0,0.28985177096910775
pglib_case30_adapted,local_generator_failure,SLSQPDispatchOptimizer,64.26674877362808,64.26674877362808,1.0,0.0,0.0,0.0,0.0,0.29799641645513475
pglib_case30_adapted,local_generator_failure,CMPO-local polynomial search,64.49040106013085,64.49040106013085,1.0,0.0,0.0,0.0,0.0,1.9014539789641276
pglib_case30_adapted,local_generator_failure,GPU-parallel random restart baseline,64.49040106013085,64.49040106013085,1.0,0.0,0.0,0.0,0.0,0.00433441653149195
pglib_case30_adapted,local_generator_failure,GreedyCriticalLoadFirst,64.49040106013085,64.49040106013085,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case30_adapted,local_generator_failure,QUBO/quadratized local search baseline,65.55960001184611,65.55960001184611,1.0,0.0,0.0,0.0,0.0,7.094256917014718
pglib_case30_adapted,local_generator_failure,Stress-only reserve heuristic baseline,69.68460001184613,69.68460001184613,1.0,0.0,0.0,0.0,0.0,0.0001066669938154
pglib_case30_adapted,local_generator_failure,DifferentialEvolutionOptimizer,106.43160951803472,122.0848488616424,0.6256776546005274,39.48462366194522,112.8031700992421,0.08671533902287995,6.0,0.2017536875209771
pglib_case30_adapted,local_generator_failure,CMPO + QCi Dirac-3,134.92955065638387,159.58368387268604,0.0,55.0704336,132.69984,0.1020105339571414,6.0,21.0
pglib_case30_adapted,local_generator_failure,CMPO-V2 + QCi Dirac-3,148.7321461738474,162.4997545738474,1.0,0.0,4.2e-06,3.2286718855124014e-09,0.0,31.0
pglib_case30_adapted,normal,Piecewise-linear MILP baseline,21.004142382465297,21.004142382465297,1.0,0.0,0.0,0.0,0.0,0.04545543697895475
pglib_case30_adapted,normal,IPOPT/Pyomo nonlinear baseline,87.7824066150673,87.7824066150673,1.0,0.0,0.0,0.0,0.0,0.2267071665264666
pglib_case30_adapted,normal,SLSQPDispatchOptimizer,87.7824066150673,87.7824066150673,1.0,0.0,0.0,0.0,0.0,0.18505593750160185
pglib_case30_adapted,normal,CMPO-local polynomial search,94.23550720375368,94.23550720375368,1.0,0.0,0.0,0.0,0.0,1.9112371869850904
pglib_case30_adapted,normal,GPU-parallel random restart baseline,94.23550720375368,94.23550720375368,1.0,0.0,0.0,0.0,0.0,0.0040752704371698
pglib_case30_adapted,normal,GreedyCriticalLoadFirst,94.23550720375368,94.23550720375368,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case30_adapted,normal,QUBO/quadratized local search baseline,94.23550720375368,94.23550720375368,1.0,0.0,0.0,0.0,0.0,7.324364062515087
pglib_case30_adapted,normal,Stress-only reserve heuristic baseline,94.23550720375368,94.23550720375368,1.0,0.0,0.0,0.0,0.0,0.00010777101851995
pglib_case30_adapted,normal,DifferentialEvolutionOptimizer,153.4762166568516,167.0423798359796,0.6605613788539899,35.111197999204336,97.94887050463642,0.07830822737920355,6.0,0.20632574992487202
pglib_case30_adapted,normal,CMPO + QCi Dirac-3,131.40252825178362,172.65624277281034,0.0,52.95234,127.596,0.1020105339571414,6.0,21.0
pglib_case30_adapted,normal,CMPO-V2 + QCi Dirac-3,198.8894947153409,198.8894947153409,1.0,0.0,3.484999999999999e-05,2.7861900909169404e-08,0.0,31.0
pglib_case30_adapted,pcc_failure,Piecewise-linear MILP baseline,23.291559596569464,23.291559596569464,1.0,0.0,0.0,0.0,0.0,0.0468853545025922
pglib_case30_adapted,pcc_failure,Stress-only reserve heuristic baseline,97.03497924697491,97.03497924697491,1.0,0.0,18.079572,0.0137659696261308,0.0,0.00010558398207645
pglib_case30_adapted,pcc_failure,IPOPT/Pyomo nonlinear baseline,98.09911938782172,98.09911938782172,1.0,0.0,0.0,0.0,0.0,0.3925776045070961
pglib_case30_adapted,pcc_failure,SLSQPDispatchOptimizer,98.09911938782172,98.09911938782172,1.0,0.0,0.0,0.0,0.0,0.4135145210311748
pglib_case30_adapted,pcc_failure,CMPO-local polynomial search,100.476142376597,100.476142376597,1.0,0.0,0.0,0.0,0.0,1.8077133125043474
